ticker,date,net_income,book_value,total_assets,revenue,shares
A,2009-09-30,-31000000.0,2514000000.0,7612000000.0,4481000000.0,345112058.0
A,2009-12-31,79000000.0,2590000000.0,7574000000.0,1213000000.0,348831278.0
A,2010-03-31,187000000.0,2624000000.0,7767000000.0,2484000000.0,348145821.0
A,2010-06-30,205000000.0,2810000000.0,9100000000.0,1384000000.0,348062907.0
A,2010-09-30,684000000.0,3228000000.0,9696000000.0,5444000000.0,346370351.0
A,2010-12-31,193000000.0,3332000000.0,8044000000.0,1519000000.0,347604202.0
A,2011-03-31,393000000.0,3953000000.0,8649000000.0,3196000000.0,345122160.0
A,2011-06-30,723000000.0,4192000000.0,8753000000.0,4887000000.0,348045143.0
A,2011-09-30,1012000000.0,4308000000.0,9057000000.0,6615000000.0,347214336.0
A,2011-12-31,230000000.0,4496000000.0,9099000000.0,1635000000.0,348125175.0
A,2012-03-31,485000000.0,4722000000.0,9413000000.0,3368000000.0,347625239.0
A,2012-06-30,728000000.0,4870000000.0,9757000000.0,5091000000.0,347500865.0
A,2012-09-30,1153000000.0,5182000000.0,10536000000.0,6858000000.0,348443140.0
A,2012-12-31,179000000.0,5348000000.0,10653000000.0,1680000000.0,347934544.0
A,2013-03-31,345000000.0,5305000000.0,10587000000.0,3412000000.0,347159281.0
A,2013-06-30,513000000.0,4787000000.0,10278000000.0,5064000000.0,344476029.0
A,2013-09-30,724000000.0,5286000000.0,10686000000.0,3894000000.0,330791981.0
A,2013-12-31,195000000.0,5444000000.0,10638000000.0,1679000000.0,331808500.0
A,2014-03-31,334000000.0,5626000000.0,11026000000.0,3410000000.0,333420524.0
A,2014-06-30,481000000.0,5637000000.0,10380000000.0,5176000000.0,333260908.0
A,2014-09-30,504000000.0,5298000000.0,10831000000.0,4048000000.0,333512738.0
A,2014-12-31,72000000.0,4237000000.0,7519000000.0,1026000000.0,335321802.0
A,2015-03-31,155000000.0,4158000000.0,7412000000.0,1989000000.0,335810297.0
A,2015-06-30,258000000.0,4103000000.0,7251000000.0,3003000000.0,333191751.0
A,2015-09-30,401000000.0,4167000000.0,7479000000.0,4038000000.0,331403231.0
A,2015-12-31,121000000.0,4045000000.0,7302000000.0,1028000000.0,332170890.0
A,2016-03-31,212000000.0,4162000000.0,7640000000.0,2047000000.0,327770081.0
A,2016-06-30,336000000.0,4343000000.0,7734000000.0,3091000000.0,325521700.0
A,2016-09-30,462000000.0,4243000000.0,7802000000.0,4202000000.0,324384755.0
A,2016-12-31,168000000.0,4297000000.0,7872000000.0,1067000000.0,321747881.0
A,2017-03-31,332000000.0,4372000000.0,8016000000.0,2169000000.0,322300905.0
A,2017-06-30,507000000.0,4608000000.0,8261000000.0,3283000000.0,321337443.0
A,2017-09-30,684000000.0,4831000000.0,8426000000.0,4472000000.0,321828003.0
A,2017-12-31,-320000000.0,4522000000.0,8698000000.0,1211000000.0,323018027.0
A,2018-03-31,-115000000.0,4613000000.0,8784000000.0,2417000000.0,322476579.0
A,2018-06-30,121000000.0,4564000000.0,8349000000.0,3620000000.0,319952126.0
A,2018-09-30,316000000.0,4567000000.0,8541000000.0,4914000000.0,318769547.0
A,2018-12-31,504000000.0,4593000000.0,8558000000.0,1284000000.0,318533054.0
A,2019-03-31,686000000.0,5125000000.0,9022000000.0,2522000000.0,317515869.0
A,2019-06-30,877000000.0,4747000000.0,8625000000.0,3796000000.0,315993352.0
A,2019-09-30,1071000000.0,4748000000.0,9452000000.0,5163000000.0,309467678.0
A,2019-12-31,197000000.0,4848000000.0,9501000000.0,1357000000.0,310183415.0
A,2020-03-31,298000000.0,4768000000.0,9455000000.0,2595000000.0,309651359.0
A,2020-06-30,497000000.0,4981000000.0,9546000000.0,3856000000.0,308777396.0
A,2020-09-30,719000000.0,4873000000.0,9627000000.0,5339000000.0,308309635.0
A,2020-12-31,288000000.0,4804000000.0,9674000000.0,1548000000.0,306849526.0
A,2021-03-31,504000000.0,4810000000.0,10398000000.0,3073000000.0,304697515.0
A,2021-06-30,768000000.0,4946000000.0,10491000000.0,4659000000.0,303443225.0
A,2021-09-30,1210000000.0,5389000000.0,10705000000.0,6319000000.0,302722668.0
A,2021-12-31,283000000.0,5154000000.0,10327000000.0,1674000000.0,302000797.0
A,2022-03-31,557000000.0,5122000000.0,10455000000.0,3281000000.0,300113377.0
A,2022-06-30,886000000.0,5091000000.0,10484000000.0,4999000000.0,298708056.0
A,2022-09-30,1254000000.0,5305000000.0,10532000000.0,6848000000.0,296040570.0
A,2022-12-31,352000000.0,5609000000.0,10919000000.0,1756000000.0,296072040.0
A,2023-03-31,654000000.0,5781000000.0,10792000000.0,3473000000.0,295701853.0
A,2023-06-30,765000000.0,5558000000.0,10675000000.0,5145000000.0,295375818.0
A,2023-09-30,1240000000.0,5845000000.0,10763000000.0,6833000000.0,292587273.0
A,2023-12-31,348000000.0,6188000000.0,10948000000.0,1658000000.0,293004102.0
A,2024-03-31,656000000.0,6214000000.0,10856000000.0,3231000000.0,293055284.0
A,2024-06-30,938000000.0,5903000000.0,10996000000.0,4809000000.0,291760872.0
A,2024-09-30,1289000000.0,5898000000.0,11846000000.0,6510000000.0,287327671.0
A,2024-12-31,318000000.0,6027000000.0,11914000000.0,1681000000.0,285595302.0
A,2025-03-31,533000000.0,6136000000.0,12158000000.0,3349000000.0,285102717.0
A,2025-06-30,869000000.0,6370000000.0,12226000000.0,5087000000.0,284064728.0
A,2025-09-30,1303000000.0,6741000000.0,12727000000.0,6948000000.0,283500427.0
A,2025-12-31,305000000.0,6908000000.0,12813000000.0,1798000000.0,283498871.0
A,2026-03-31,644000000.0,7122000000.0,13065000000.0,3633000000.0,282602317.0
AAL,2013-03-31,-341000000.0,-8376000000.0,23852000000.0,6098000000.0,335271557.0
AAL,2013-06-30,-122000000.0,-8216000000.0,26216000000.0,6449000000.0,335271557.0
AAL,2013-09-30,167000000.0,-7922000000.0,26780000000.0,6828000000.0,335525399.0
AAL,2013-12-31,-1834000000.0,-2731000000.0,42278000000.0,26743000000.0,335598131.0
AAL,2014-03-31,480000000.0,1095000000.0,43737000000.0,9995000000.0,471517102.0
AAL,2014-06-30,1343000000.0,4086000000.0,44811000000.0,21351000000.0,720196221.0
AAL,2014-09-30,2285000000.0,4971000000.0,44173000000.0,32490000000.0,720102826.0
AAL,2014-12-31,2882000000.0,2021000000.0,43771000000.0,42650000000.0,717263563.0
AAL,2015-03-31,932000000.0,2764000000.0,46754000000.0,9827000000.0,696649850.0
AAL,2015-06-30,2636000000.0,3636000000.0,47868000000.0,20654000000.0,692798851.0
AAL,2015-09-30,4329000000.0,3762000000.0,48715000000.0,31360000000.0,671820576.0
AAL,2015-12-31,7610000000.0,5635000000.0,48415000000.0,40990000000.0,630325539.0
AAL,2016-03-31,700000000.0,4710000000.0,49909000000.0,9435000000.0,603018015.0
AAL,2016-06-30,1650000000.0,4312000000.0,51051000000.0,19798000000.0,578171736.0
AAL,2016-09-30,2387000000.0,4391000000.0,51108000000.0,30391000000.0,529913365.0
AAL,2016-12-31,2676000000.0,3785000000.0,51274000000.0,40142000000.0,518125156.0
AAL,2017-03-31,234000000.0,3457000000.0,52627000000.0,9820000000.0,504154397.0
AAL,2017-06-30,1037000000.0,3715000000.0,53336000000.0,11227000000.0,492588818.0
AAL,2017-09-30,1661000000.0,3948000000.0,52401000000.0,32011000000.0,487009215.0
AAL,2017-12-31,1919000000.0,3926000000.0,51396000000.0,42622000000.0,478499073.0
AAL,2018-03-31,186000000.0,-1018000000.0,53280000000.0,10401000000.0,473138683.0
AAL,2018-06-30,753000000.0,-869000000.0,52622000000.0,22044000000.0,468152649.0
AAL,2018-09-30,1094000000.0,-568000000.0,52635000000.0,33603000000.0,460509216.0
AAL,2018-12-31,1412000000.0,-169000000.0,60580000000.0,44541000000.0,460581463.0
AAL,2019-03-31,185000000.0,-636000000.0,60787000000.0,10584000000.0,449055548.0
AAL,2019-06-30,847000000.0,-22000000.0,61967000000.0,22544000000.0,444835115.0
AAL,2019-09-30,1272000000.0,160000000.0,61175000000.0,34455000000.0,445270728.0
AAL,2019-12-31,1686000000.0,-118000000.0,59995000000.0,45768000000.0,438057971.0
AAL,2020-03-31,-2241000000.0,-2636000000.0,58580000000.0,8515000000.0,426058744.0
AAL,2020-06-30,-4308000000.0,-3169000000.0,64544000000.0,10137000000.0,422894501.0
AAL,2020-09-30,-6707000000.0,-5528000000.0,62773000000.0,13309000000.0,508561163.0
AAL,2020-12-31,-8885000000.0,-6867000000.0,62008000000.0,17337000000.0,508631777.0
AAL,2021-03-31,-1250000000.0,-7945000000.0,68649000000.0,4008000000.0,639675800.0
AAL,2021-06-30,-1231000000.0,-7667000000.0,72464000000.0,11486000000.0,641383123.0
AAL,2021-09-30,-1061000000.0,-7437000000.0,68437000000.0,20455000000.0,647457831.0
AAL,2021-12-31,-1993000000.0,-7340000000.0,66467000000.0,29882000000.0,647514522.0
AAL,2022-03-31,-1635000000.0,-8940000000.0,67401000000.0,8899000000.0,649160117.0
AAL,2022-06-30,-1159000000.0,-8422000000.0,67963000000.0,22321000000.0,649514848.0
AAL,2022-09-30,-676000000.0,-7893000000.0,66652000000.0,35783000000.0,649845927.0
AAL,2022-12-31,127000000.0,-5799000000.0,64716000000.0,48971000000.0,649900887.0
AAL,2023-03-31,10000000.0,-5771000000.0,66786000000.0,12189000000.0,651430518.0
AAL,2023-06-30,1348000000.0,-4385000000.0,67260000000.0,26244000000.0,652862508.0
AAL,2023-09-30,803000000.0,-5136000000.0,65711000000.0,39726000000.0,653362436.0
AAL,2023-12-31,822000000.0,-5202000000.0,63058000000.0,52788000000.0,653540550.0
AAL,2024-03-31,-312000000.0,-5500000000.0,64384000000.0,12570000000.0,654756816.0
AAL,2024-06-30,405000000.0,-4746000000.0,64125000000.0,26904000000.0,656090344.0
AAL,2024-09-30,256000000.0,-4854000000.0,63528000000.0,40551000000.0,656703913.0
AAL,2024-12-31,846000000.0,-3977000000.0,61783000000.0,54211000000.0,657130996.0
AAL,2025-03-31,-473000000.0,-4508000000.0,62609000000.0,12551000000.0,657575582.0
AAL,2025-06-30,126000000.0,-3870000000.0,63667000000.0,26943000000.0,659512341.0
AAL,2025-09-30,12000000.0,-3962000000.0,62141000000.0,40634000000.0,659828821.0
AAL,2025-12-31,111000000.0,-3727000000.0,61774000000.0,54633000000.0,660086495.0
AAL,2026-03-31,-382000000.0,-4077000000.0,63738000000.0,13912000000.0,660304573.0
AAP,2010-06-30,210342000.0,1066450000.0,3328727000.0,3248562000.0,87418084.0
AAP,2010-09-30,297940000.0,1142038000.0,3394325000.0,4655073000.0,84265967.0
AAP,2010-12-31,346053000.0,1039374000.0,3354217000.0,5925203000.0,84052980.0
AAP,2011-03-31,109583000.0,883884000.0,3573383000.0,1898063000.0,80060288.0
AAP,2011-06-30,222690000.0,764278000.0,3603468000.0,3377902000.0,76637258.0
AAP,2011-09-30,328243000.0,777626000.0,3678068000.0,4842890000.0,76637258000.0
AAP,2011-12-31,394682000.0,847914000.0,3655754000.0,6170462000.0,72924659000.0
AAP,2012-03-31,133506000.0,978649000.0,4045112000.0,1957292000.0,72924659000.0
AAP,2012-06-30,233112000.0,1059101000.0,4169146000.0,3418275000.0,73509714000.0
AAP,2012-09-30,322615000.0,1147478000.0,4357206000.0,4875802000.0,73327586.0
AAP,2012-12-31,387670000.0,1210694000.0,4613814000.0,6205003000.0,73364071.0
AAP,2013-03-31,121790000.0,1270447000.0,4747485000.0,2015304000.0,73655224.0
AAP,2013-06-30,238661000.0,1368979000.0,4852288000.0,3564857000.0,72959064.0
AAP,2013-09-30,342491000.0,1467848000.0,4944699000.0,5085001000.0,72837141.0
AAP,2013-12-31,391758000.0,1516205000.0,5564774000.0,6493814000.0,72832095.0
AAP,2014-03-31,147726000.0,1666631000.0,7913074000.0,2969499000.0,72926574.0
AAP,2014-06-30,287214000.0,1814525000.0,7969525000.0,5317196000.0,72954638.0
AAP,2014-09-30,409391000.0,1925499000.0,7997737000.0,7606652000.0,72975452.0
AAP,2014-12-31,493825000.0,2002912000.0,7962358000.0,9843861000.0,72994178.0
AAP,2015-03-31,148112000.0,2146588000.0,8146695000.0,3038233000.0,73140749.0
AAP,2015-06-30,298110000.0,2289129000.0,8167875000.0,5408270000.0,73178233.0
AAP,2015-09-30,418579000.0,2413076000.0,8181536000.0,7703473000.0,73217397.0
AAP,2015-12-31,473398000.0,2460648000.0,8134565000.0,9737018000.0,73236597.0
AAP,2016-03-31,158813000.0,2629139000.0,8438963000.0,2979778000.0,73322495.0
AAP,2016-06-30,283413000.0,2748897000.0,8437529000.0,5235933000.0,73556053.0
AAP,2016-09-30,397257000.0,2855721000.0,8414645000.0,7484788000.0,73640170.0
AAP,2016-12-31,459622000.0,2916192000.0,8315033000.0,9567679000.0,73653625.0
AAP,2017-03-31,107960000.0,3023675000.0,8428657000.0,2890838000.0,73761599.0
AAP,2017-06-30,195009000.0,3128277000.0,8437413000.0,2263727000.0,73844670.0
AAP,2017-09-30,291005000.0,3230787000.0,8468224000.0,7336798000.0,73862588.0
AAP,2017-12-31,475505000.0,3415196000.0,8482301000.0,9373784000.0,73898043.0
AAP,2018-03-31,136727000.0,3546621000.0,8614953000.0,2873848000.0,73978120.0
AAP,2018-06-30,254562000.0,3657949000.0,8835556000.0,5200500000.0,74031311.0
AAP,2018-09-30,370405000.0,3659636000.0,8972353000.0,7475482000.0,74081258.0
AAP,2018-12-31,423847000.0,3550813000.0,9040648000.0,9580554000.0,72893719.0
AAP,2019-03-31,142500000.0,3547223000.0,11081511000.0,2952036000.0,71670134.0
AAP,2019-06-30,267320000.0,3671302000.0,11267946000.0,5284283000.0,71736870.0
AAP,2019-09-30,390989000.0,3454942000.0,11106802000.0,7596389000.0,71386990.0
AAP,2019-12-31,486896000.0,3549081000.0,11248525000.0,9709003000.0,69259396.0
AAP,2020-03-31,43588000.0,3537029000.0,12072572000.0,2697882000.0,69238141.0
AAP,2020-06-30,233548000.0,3726519000.0,11930665000.0,5199262000.0,69101221.0
AAP,2020-09-30,381024000.0,3762664000.0,11972763000.0,7741190000.0,69138763.0
AAP,2020-12-31,493021000.0,3536961000.0,11839636000.0,10106321000.0,67854539.0
AAP,2021-03-31,185930000.0,3501567000.0,11868488000.0,3330370000.0,65524420.0
AAP,2021-06-30,364626000.0,3301565000.0,11838725000.0,5979785000.0,65438870.0
AAP,2021-09-30,534439000.0,3196535000.0,11864171000.0,8601014000.0,63000741.0
AAP,2021-12-31,596615000.0,3081792000.0,12175777000.0,10997989000.0,62355177.0
AAP,2022-03-31,139791000.0,2909680000.0,12002481000.0,3374210000.0,61097579.0
AAP,2022-06-30,284193000.0,2794809000.0,12137963000.0,6039636000.0,60639825.0
AAP,2022-09-30,395176000.0,2716075000.0,12132079000.0,8680977000.0,60118239.0
AAP,2022-12-31,464402000.0,2599192000.0,11986447000.0,11154722000.0,59253716.0
AAP,2023-03-31,48323000.0,2562720000.0,12177286000.0,3417594000.0,59273781.0
AAP,2023-06-30,78577000.0,2642654000.0,12299222000.0,6103659000.0,59443852.0
AAP,2023-09-30,-62037000.0,2566336000.0,12249161000.0,8822738000.0,59470261.0
AAP,2023-12-31,29735000.0,2519728000.0,12276326000.0,11287607000.0,59501990.0
AAP,2024-03-31,40012000.0,2564650000.0,12201110000.0,3406254000.0,59551042.0
AAP,2024-06-30,85003000.0,2606752000.0,12289806000.0,6089307000.0,59622297.0
AAP,2024-09-30,78989000.0,2597680000.0,12468184000.0,7098302000.0,59674284.0
AAP,2024-12-31,-335788000.0,2169942000.0,10798109000.0,9094327000.0,59734513.0
AAP,2025-03-31,24000000.0,2197000000.0,10617000000.0,2583000000.0,59792946.0
AAP,2025-06-30,39000000.0,2203000000.0,10539000000.0,4593000000.0,59925637.0
AAP,2025-09-30,38000000.0,2195000000.0,12059000000.0,6628000000.0,59984947.0
AAP,2025-12-31,44000000.0,2198000000.0,11826000000.0,8601000000.0,60022245.0
AAP,2026-03-31,24000000.0,2213000000.0,11799000000.0,2614000000.0,60100000.0
