ticker,reason
ABC,no_sec_cik_resolved
ABMD,no_sec_cik_resolved
ACAS,no_sec_cik_resolved
ACS,no_sec_cik_resolved
ADS,no_sec_cik_resolved
AET,no_sec_cik_resolved
ALXN,no_sec_cik_resolved
ANDV,no_sec_cik_resolved
ANSS,no_sec_cik_resolved
ANTM,no_sec_cik_resolved
APOL,no_sec_cik_resolved
ARG,no_sec_cik_resolved
ATGE,no_sec_cik_resolved
ATVI,no_sec_cik_resolved
AVP,no_sec_cik_resolved
AYE,no_sec_cik_resolved
BCR,no_sec_cik_resolved
BDK,no_sec_cik_resolved
BIG,no_sec_cik_resolved
BJS,no_sec_cik_resolved
BK,no_sec_cik_resolved
BLL,no_sec_cik_resolved
BMS,no_sec_cik_resolved
BNI,no_sec_cik_resolved
BRCM,no_sec_cik_resolved
BTUUQ,no_sec_cik_resolved
BXLT,no_sec_cik_resolved
CA,no_sec_cik_resolved
CAM,no_sec_cik_resolved
CBE,no_sec_cik_resolved
CBS,no_sec_cik_resolved
CDAY,no_sec_cik_resolved
CELG,no_sec_cik_resolved
CEPH,no_sec_cik_resolved
CERN,no_sec_cik_resolved
CFN,no_sec_cik_resolved
CITGQ,no_sec_cik_resolved
CMA,no_sec_cik_resolved
CMCSK,no_sec_cik_resolved
COG,no_sec_cik_resolved
COL,no_sec_cik_resolved
COV,no_sec_cik_resolved
CPGX,no_sec_cik_resolved
CSRA,no_sec_cik_resolved
CTL,no_sec_cik_resolved
CTLT,no_sec_cik_resolved
CTRA,no_sec_cik_resolved
CTX,no_sec_cik_resolved
CTXS,no_sec_cik_resolved
CVC,no_sec_cik_resolved
CVG,no_sec_cik_resolved
CXO,no_sec_cik_resolved
DAY,no_sec_cik_resolved
DDR,no_sec_cik_resolved
DF,no_sec_cik_resolved
DFS,no_sec_cik_resolved
DISCA,no_sec_cik_resolved
DISCK,no_sec_cik_resolved
DISH,no_sec_cik_resolved
DNR,no_sec_cik_resolved
DRE,no_sec_cik_resolved
DWDP,no_sec_cik_resolved
DYN,cik_resolved_but_missing_revenue_tag
EKDKQ,no_sec_cik_resolved
ENDP,no_sec_cik_resolved
ESRX,no_sec_cik_resolved
ESV,no_sec_cik_resolved
ETFC,no_sec_cik_resolved
EVHC,no_sec_cik_resolved
FB,no_sec_cik_resolved
FBHS,no_sec_cik_resolved
FDO,no_sec_cik_resolved
FI,no_sec_cik_resolved
FII,no_sec_cik_resolved
FL,no_sec_cik_resolved
FLIR,no_sec_cik_resolved
FLT,no_sec_cik_resolved
FRC,no_sec_cik_resolved
FRX,no_sec_cik_resolved
FTR,no_sec_cik_resolved
GENZ,no_sec_cik_resolved
GGP,no_sec_cik_resolved
GMCR,no_sec_cik_resolved
GPS,no_sec_cik_resolved
GR,no_sec_cik_resolved
HBI,no_sec_cik_resolved
HCBK,no_sec_cik_resolved
HES,no_sec_cik_resolved
HFC,no_sec_cik_resolved
HNZ,no_sec_cik_resolved
HOLX,no_sec_cik_resolved
HRS,no_sec_cik_resolved
HSP,no_sec_cik_resolved
IGT,no_sec_cik_resolved
INFO,no_sec_cik_resolved
IPG,no_sec_cik_resolved
JCP,no_sec_cik_resolved
JEC,no_sec_cik_resolved
JNPR,no_sec_cik_resolved
JNS,no_sec_cik_resolved
JNY,no_sec_cik_resolved
JOY,no_sec_cik_resolved
JWN,no_sec_cik_resolved
K,no_sec_cik_resolved
KORS,no_sec_cik_resolved
KRFT,no_sec_cik_resolved
KSU,no_sec_cik_resolved
LLTC,no_sec_cik_resolved
LM,no_sec_cik_resolved
LO,no_sec_cik_resolved
LSI,no_sec_cik_resolved
LVLT,no_sec_cik_resolved
LXK,no_sec_cik_resolved
MDP,no_sec_cik_resolved
MEE,no_sec_cik_resolved
MHS,no_sec_cik_resolved
MJN,no_sec_cik_resolved
MMC,no_sec_cik_resolved
MOLX,no_sec_cik_resolved
MRO,no_sec_cik_resolved
MTLQQ,no_sec_cik_resolved
MWV,no_sec_cik_resolved
MWW,no_sec_cik_resolved
MXIM,no_sec_cik_resolved
