,ticker
0,A
1,AAL
2,AAP
3,AAPL
4,ABBV
8,ABT
10,ACGL
11,ACN
13,ADBE
14,ADI
15,ADM
16,ADP
18,ADSK
19,AEE
20,AEP
21,AES
23,AFL
24,AIG
25,AIV
26,AIZ
27,AJG
28,AKAM
29,ALB
30,ALGN
31,ALK
32,ALL
33,ALLE
35,AMAT
36,AMCR
37,AMD
38,AME
39,AMG
40,AMGN
41,AMP
42,AMT
43,AMTM
44,AMZN
45,AN
47,ANET
48,ANF
51,AON
52,AOS
53,APA
54,APC
55,APD
56,APH
57,APO
59,APTV
60,ARE
63,ATI
64,ATO
66,AVB
67,AVGO
69,AVY
70,AWK
71,AXON
72,AXP
74,AYI
75,AZO
76,BA
77,BAC
78,BALL
79,BAX
80,BBBY
81,BBT
82,BBWI
83,BBY
86,BDX
87,BEN
88,BF-B
89,BG
90,BHF
92,BIIB
93,BIO
96,BKNG
97,BKR
98,BLDR
99,BLK
102,BMY
104,BR
106,BRK-B
107,BRO
108,BSX
110,BWA
111,BX
113,BXP
114,C
116,CAG
117,CAH
119,CARR
120,CAT
121,CB
123,CBOE
124,CBRE
126,CCI
127,CCL
129,CDNS
130,CDW
131,CE
132,CEG
136,CF
137,CFG
139,CHD
140,CHRW
141,CHTR
142,CI
143,CIEN
144,CINF
146,CL
147,CLF
148,CLX
150,CMCSA
152,CME
153,CMG
154,CMI
155,CMS
156,CNC
157,CNP
158,CNX
159,COF
161,COIN
163,COO
164,COP
165,COR
166,COST
167,COTY
169,CPAY
170,CPB
172,CPRI
173,CPRT
174,CPT
175,CRL
176,CRM
177,CRWD
178,CSCO
179,CSGP
181,CSX
182,CTAS
186,CTSH
187,CTVA
192,CVS
193,CVX
195,CZR
196,D
197,DAL
200,DD
201,DDOG
203,DE
204,DECK
205,DELL
208,DG
209,DGX
210,DHI
211,DHR
212,DIS
216,DLR
217,DLTR
219,DOC
220,DOV
221,DOW
222,DPZ
224,DRI
225,DTE
226,DUK
227,DVA
228,DVN
230,DXC
231,DXCM
233,EA
234,EBAY
235,ECL
236,ED
237,EFX
238,EG
239,EIX
242,ELV
243,EMN
244,EMR
246,ENPH
247,EOG
248,EP
249,EPAM
250,EQ
251,EQIX
252,EQR
253,EQT
255,ES
257,ESS
260,ETN
261,ETR
262,ETSY
264,EVRG
265,EW
266,EXC
267,EXE
268,EXPD
269,EXPE
270,EXR
271,F
272,FANG
273,FAST
276,FCPT
277,FCX
279,FDS
280,FDX
281,FE
282,FFIV
283,FHN
285,FICO
287,FIS
288,FISV
289,FITB
292,FLR
293,FLS
295,FMC
296,FOX
297,FOXA
299,FRT
301,FSLR
302,FTI
303,FTNT
305,FTV
306,GD
307,GDDY
308,GE
309,GEHC
310,GEN
312,GEV
315,GILD
316,GIS
317,GL
318,GLW
319,GM
321,GME
322,GNRC
323,GNW
324,GOOG
325,GOOGL
326,GPC
327,GPN
330,GRMN
331,GS
332,GT
333,GWW
334,HAL
335,HAS
336,HBAN
338,HCA
340,HD
343,HIG
344,HII
345,HLT
347,HOG
349,HON
350,HP
351,HPE
352,HPQ
353,HRB
356,HSIC
358,HST
359,HSY
360,HUBB
361,HUM
362,HWM
363,IBM
364,ICE
365,IDXX
366,IEX
367,IFF
369,ILMN
370,INCY
372,INTC
373,INTU
374,INVH
375,IP
377,IPGP
378,IQV
379,IR
380,IRM
381,ISRG
382,IT
383,ITT
384,ITW
385,IVZ
386,J
387,JBHT
388,JBL
389,JCI
392,JEF
393,JKHY
394,JNJ
399,JPM
402,KBH
403,KDP
404,KEY
405,KEYS
406,KHC
407,KIM
408,KKR
409,KLAC
410,KMB
411,KMI
412,KMX
413,KO
415,KR
417,KSS
419,KVUE
420,L
421,LB
422,LDOS
423,LEG
425,LH
426,LHX
427,LII
428,LIN
429,LKQ
431,LLY
433,LMT
434,LNC
435,LNT
437,LOW
438,LRCX
440,LULU
441,LUMN
442,LUV
444,LVS
445,LW
447,LYB
448,LYV
449,M
450,MA
451,MAA
452,MAC
453,MAR
454,MAS
455,MAT
456,MBI
457,MCD
458,MCHP
459,MCK
460,MCO
461,MDLZ
463,MDT
465,MET
467,MGM
468,MHK
472,MKTX
473,MLM
475,MMI
476,MMM
477,MNST
478,MO
479,MOH
481,MOS
482,MPC
483,MPWR
484,MRK
485,MRNA
487,MS
488,MSCI
489,MSFT
490,MSI
491,MTB
492,MTCH
493,MTD
495,MTW
496,MU
497,MUR
502,NAVI
504,NBR
505,NCLH
506,NDAQ
507,NDSN
508,NEE
509,NEM
510,NFLX
512,NI
513,NKE
514,NKTR
517,NOC
518,NOV
520,NOW
521,NRG
522,NSC
523,NTAP
524,NTRS
525,NUE
526,NVDA
527,NVR
528,NWL
529,NWS
530,NWSA
531,NXPI
534,O
535,ODFL
537,OGN
538,OI
539,OKE
540,OMC
541,ON
542,ORCL
543,ORLY
544,OTIS
545,OXY
546,PANW
548,PAYC
549,PAYX
552,PBI
553,PCAR
554,PCG
557,PEG
558,PENN
559,PEP
561,PFE
562,PFG
563,PG
564,PGR
565,PH
566,PHM
567,PKG
569,PLD
570,PLTR
571,PM
572,PNC
573,PNR
574,PNW
575,PODD
576,POOL
577,PPG
578,PPL
579,PRGO
580,PRU
581,PSA
582,PSKY
583,PSX
584,PTC
585,PVH
586,PWR
588,PYPL
589,QCOM
592,QRVO
593,R
595,RCL
598,REG
599,REGN
600,RF
601,RHI
603,RJF
605,RMD
607,ROK
608,ROL
609,ROP
610,ROST
611,RRC
613,RSG
615,RTX
616,RVTY
618,SBAC
620,SBUX
622,SCHW
623,SEDG
626,SHW
629,SJM
630,SLB
631,SLG
632,SLM
633,SMCI
634,SNA
635,SNDK
637,SNPS
638,SO
639,SOLV
641,SPG
642,SPGI
645,SRE
646,STE
647,STI
649,STLD
650,STT
651,STX
654,SW
655,SWK
656,SWKS
659,SYF
660,SYK
662,SYY
663,T
664,TAP
665,TDC
666,TDG
667,TDY
668,TE
669,TECH
670,TEL
671,TER
672,TFC
673,TFX
675,TGT
676,THC
679,TJX
683,TMO
684,TMUS
685,TPL
686,TPR
687,TRGP
688,TRIP
689,TRMB
690,TROW
691,TRV
692,TSCO
693,TSLA
696,TT
698,TTWO
702,TXN
703,TXT
704,TYL
707,UAL
708,UBER
709,UDR
711,ULTA
712,UNH
713,UNM
714,UNP
715,UPS
716,URI
717,USB
720,V
722,VFC
725,VIAV
726,VICI
727,VLO
728,VLTO
729,VMC
730,VNO
731,VNT
732,VRSK
733,VRSN
734,VRTX
735,VST
736,VTR
737,VTRS
738,VZ
739,WAB
740,WAT
742,WBD
744,WDAY
745,WDC
746,WEC
747,WELL
748,WFC
751,WHR
754,WM
755,WMB
756,WMT
758,WRB
760,WSM
761,WST
762,WTW
763,WU
764,WY
766,WYNN
769,XEL
772,XRAY
773,XRX
775,XYL
777,YUM
778,ZBH
779,ZBRA
780,ZION
781,ZTS
